3,3,0.2,1e-08,4.7805,0.25086,0.13439,-0.032258,31
3,4,0.1,1e-08,3.2006,0.33573,0.02507,-0.032258,31
3,4,0.2,1e-08,3.1743,0.33702,0.026537,-0.032258,31
3.5,2,0.1,1e-08,5.2344,0.22912,0.18964,0.015895,30
3.5,2,0.2,1e-08,4.6658,0.25777,0.11585,-0.018749,30.75
3.5,3,0.1,1e-08,4.8234,0.25644,0.093332,-0.032258,31
3.5,3,0.2,1e-08,4.6649,0.26652,0.064642,-0.032258,31
3.5,4,0.1,1e-08,2.9796,0.35393,0.01084,-0.032258,31
3.5,4,0.2,1e-08,3.2774,0.33367,0.025094,-0.032258,31
4,2,0.1,1e-08,5.3221,0.23273,0.15492,0.019237,30.188
4,2,0.2,1e-08,5.5784,0.23011,0.17616,0.045432,29.625
4,3,0.1,1e-08,3.4665,0.32063,0.035847,-0.032258,31
4,3,0.2,1e-08,3.2542,0.33268,0.033416,-0.032258,31
4,4,0.1,1e-08,2.7293,0.37238,0.003183,-0.032258,31
4,4,0.2,1e-08,2.8188,0.3634,0.0059144,-0.032258,31
4.5,2,0.1,1e-08,5.3414,0.23987,0.12706,0.01345,30.312
4.5,2,0.2,1e-08,5.4665,0.23208,0.13878,-0.0070449,30.562
4.5,3,0.1,1e-08,2.9175,0.35695,0.014493,-0.032258,31
4.5,3,0.2,1e-08,3.0366,0.35008,0.0089815,-0.032258,31
4.5,4,0.1,1e-08,2.6783,0.37683,1.5183e-16,-0.032258,31
4.5,4,0.2,1e-08,2.6839,0.3763,1.848e-16,-0.032258,31
5,2,0.1,1e-08,4.8066,0.25588,0.097614,-0.032258,31
5,2,0.2,1e-08,4.8251,0.25617,0.10129,-0.028929,30.938
5,3,0.1,1e-08,2.9266,0.35623,0.015462,-0.032258,31
5,3,0.2,1e-08,2.8735,0.36301,0.0057808,-0.032258,31
5,4,0.1,1e-08,2.6358,0.38093,1.6656e-17,-0.032258,31
5,4,0.2,1e-08,2.6502,0.37946,-2.3605e-16,-0.032258,31
5.5,2,0.1,1e-08,4.1063,0.29112,0.052962,-0.032258,31
5.5,2,0.2,1e-08,4.5465,0.26383,0.11347,-0.032258,31
5.5,3,0.1,1e-08,2.6827,0.37667,-1.3295e-16,-0.032258,31
5.5,3,0.2,1e-08,2.7206,0.37226,3.2309e-17,-0.032258,31
5.5,4,0.1,1e-08,2.6069,0.38464,1.1798e-16,-0.032258,31
5.5,4,0.2,1e-08,2.599,0.38606,2.4029e-17,-0.032258,31
6,2,0.1,1e-08,3.3004,0.32827,0.040952,-0.032258,31
6,2,0.2,1e-08,3.3149,0.32894,0.029893,-0.032258,31
6,3,0.1,1e-08,2.7097,0.37489,1.5892e-16,-0.032258,31
6,3,0.2,1e-08,2.7201,0.37208,1.877e-16,-0.032258,31
6,4,0.1,1e-08,2.6068,0.38423,-5.7863e-17,-0.032258,31
6,4,0.2,1e-08,2.6134,0.38321,4.2562e-17,-0.032258,31
6.5,2,0.1,1e-08,3.0258,0.35136,0.014166,-0.032258,31
6.5,2,0.2,1e-08,3.0057,0.35108,0.018488,-0.032258,31
6.5,3,0.1,1e-08,2.7188,0.37278,4.2413e-17,-0.032258,31
6.5,3,0.2,1e-08,2.6631,0.37695,-7.4729e-17,-0.032258,31
6.5,4,0.1,1e-08,2.5609,0.39087,6.5032e-17,-0.032258,31
6.5,4,0.2,1e-08,2.5866,0.3872,1.9121e-16,-0.032258,31
7,2,0.1,1e-08,2.9477,0.35465,0.014171,-0.032258,31
7,2,0.2,1e-08,2.9253,0.35598,0.019862,-0.032258,31
7,3,0.1,1e-08,2.6427,0.38067,3.1967e-16,-0.032258,31
7,3,0.2,1e-08,2.638,0.3806,-1.7812e-16,-0.032258,31
7,4,0.1,1e-08,2.5723,0.38911,1.5258e-16,-0.032258,31
7,4,0.2,1e-08,2.5569,0.3913,-1.9962e-16,-0.032258,31
7.5,2,0.1,1e-08,2.9878,0.35698,0.0046744,-0.032258,31
7.5,2,0.2,1e-08,2.8377,0.36387,0.005942,-0.032258,31
7.5,3,0.1,1e-08,2.624,0.38223,-1.3724e-16,-0.032258,31
7.5,3,0.2,1e-08,2.6411,0.3804,-9.5193e-17,-0.032258,31
7.5,4,0.1,1e-08,2.5301,0.39538,1.5163e-16,-0.032258,31
7.5,4,0.2,1e-08,2.5697,0.38944,-9.4258e-17,-0.032258,31
8,2,0.1,1e-08,2.7799,0.36708,0.00052641,-0.032258,31
8,2,0.2,1e-08,2.7755,0.36864,0.0030521,-0.032258,31
8,3,0.1,1e-08,2.5856,0.38781,-8.4785e-17,-0.032258,31
8,3,0.2,1e-08,2.5959,0.3857,-3.6693e-16,-0.032258,31
8,4,0.1,1e-08,2.5332,0.39506,2.2125e-16,-0.032258,31
8,4,0.2,1e-08,2.5601,0.39077,-1.9161e-16,-0.032258,31
2,2,0.1,1.5e-08,5.26,0.22966,0.20683,0.17161,27.688
2,2,0.2,1.5e-08,5.2668,0.24644,0.22261,0.31668,25.562
2,3,0.1,1.5e-08,4.7493,0.24874,0.15855,0.071844,29.125
2,3,0.2,1.5e-08,5.4003,0.22244,0.19491,0.072768,29
2,4,0.1,1.5e-08,5.1154,0.22874,0.19306,0.0027842,30.312
2,4,0.2,1.5e-08,5.3791,0.23691,0.18894,0.1228,28.438
2.5,2,0.1,1.5e-08,5.35,0.24294,0.19981,0.24119,26.688
2.5,2,0.2,1.5e-08,5.2072,0.23121,0.19828,0.13268,28
